iter	MultiClass
0	0.6836898355
1	0.6750764628
2	0.6662750266
3	0.6579362118
4	0.6487486864
5	0.6414421436
6	0.6335401737
7	0.6262108102
8	0.6190243261
9	0.6117900941
10	0.6042378069
11	0.5977588221
12	0.5910772498
13	0.5846489352
14	0.579889589
15	0.5741153807
16	0.5682663324
17	0.5626492595
18	0.5573734287
19	0.5522410389
20	0.5475731651
21	0.5424498081
22	0.5375861981
23	0.5332652888
24	0.5285239701
25	0.5239198624
26	0.5197783065
27	0.5156293428
28	0.5117023557
29	0.5081492611
30	0.5042609576
31	0.500707675
32	0.4971232581
33	0.4934249001
34	0.4899906107
35	0.4869754541
36	0.4834464474
37	0.4802972577
38	0.4773081032
39	0.4740436723
40	0.4712426389
41	0.4678983578
42	0.4654319922
43	0.4628194216
44	0.4599419793
45	0.4572111327
46	0.4547059617
47	0.4520265734
48	0.4494134228
49	0.4469191904
50	0.444374849
51	0.4415831536
52	0.4393975114
53	0.4375474256
54	0.4353733647
55	0.433386784
56	0.4313489606
57	0.429545465
58	0.4270763763
59	0.4251279376
60	0.4229547337
61	0.4203706793
62	0.418736773
63	0.4169816803
64	0.4151194419
65	0.4131876631
66	0.4109704227
67	0.4088843213
68	0.4072352051
69	0.4053335083
70	0.4035953399
71	0.4021614265
72	0.4002244129
73	0.3984870912
74	0.3968911831
75	0.395024559
76	0.3933933113
77	0.3917560262
78	0.3904866635
79	0.388824472
80	0.3871073648
81	0.3857048681
82	0.3844416801
83	0.3829613653
84	0.3819459072
85	0.3809717655
86	0.3795368764
87	0.3779997159
88	0.3766390274
89	0.3753582967
90	0.3741620475
91	0.3728170734
92	0.3715649398
93	0.3706214809
94	0.3694736989
95	0.3683556662
96	0.3672496822
97	0.3663834616
98	0.3650918993
99	0.3638962329
100	0.3627477148
101	0.3615314351
102	0.3605097748
103	0.3597261362
104	0.358571076
105	0.3574272094
106	0.3560795553
107	0.3551282895
108	0.3540107366
109	0.3527436787
110	0.3515822747
111	0.3505270636
112	0.349539869
113	0.3484578186
114	0.3474252227
115	0.3460990347
116	0.3452959262
117	0.3446226984
118	0.343671824
119	0.343180247
120	0.342115064
121	0.3412176999
122	0.3402506892
123	0.3394579286
124	0.3384727179
125	0.3374836956
126	0.3364922527
127	0.335648245
128	0.334922027
129	0.3339999551
130	0.3335016563
131	0.3328140993
132	0.3319929787
133	0.3310707713
134	0.3304508089
135	0.329725202
136	0.3289701356
137	0.3281572516
138	0.3271635304
139	0.3263389088
140	0.3258909484
141	0.3252229563
142	0.3245293336
143	0.3238169708
