iter	Passed	Remaining
0	734	586806
1	1242	495842
2	1754	466107
3	2267	451281
4	2784	442659
5	3333	441180
6	3862	437555
7	4375	433156
8	4986	438234
9	5571	440131
10	6177	443099
11	6756	443702
12	7294	441620
13	7895	443280
14	8473	443460
15	9034	442685
16	9584	441452
17	10115	439463
18	10632	437042
19	11260	439157
20	11860	439956
21	12410	438869
22	13009	439479
23	13579	439063
24	14191	439948
25	14747	439007
26	15276	437363
27	15834	436566
28	16366	435125
29	16890	433525
30	17401	431659
31	17912	429903
32	18438	428546
33	18970	427385
34	19497	426149
35	20003	424522
36	20505	422858
37	21008	421268
38	21559	420677
39	22100	419913
40	22634	419023
41	23142	417674
42	23652	416402
43	24209	415963
44	24735	415003
45	25247	413844
46	25762	412747
47	26292	411914
48	26835	411299
49	27354	410319
50	27871	409324
51	28383	408287
52	28893	407238
53	29430	406575
54	29943	405597
55	30450	404560
56	30970	403708
57	31482	402759
58	32017	402116
59	32553	401496
60	33072	400670
61	33609	400057
62	34128	399248
63	34675	398768
64	35202	398062
65	35728	397344
66	36245	396540
67	36759	395709
68	37299	395155
69	37815	394361
70	38314	393402
71	38827	392593
72	39357	391952
73	39952	391967
74	40486	391367
75	40999	390569
76	41517	389834
77	42031	389058
78	42563	388454
79	43093	387844
80	43614	387143
81	44117	386301
82	44642	385648
83	45204	385318
84	45721	384599
85	46237	383878
86	46761	383232
87	47273	382485
88	47822	382039
89	48327	381251
90	48843	380550
91	49343	379729
92	49874	379153
93	50406	378587
94	50919	377876
95	51426	377125
96	51946	376478
97	52454	375748
98	52987	375193
99	53522	374656
100	54037	373980
101	54542	373241
102	55081	372737
103	55631	372305
104	56159	371720
105	56677	371079
106	57198	370453
107	57710	369774
108	58253	369294
109	58786	368753
110	59292	368039
111	59817	367450
112	60328	366775
113	60886	366387
114	61418	365843
115	61925	365149
116	62442	364517
117	62963	363905
118	63493	363350
119	64007	362709
120	64509	362001
121	65039	361450
122	65565	360878
123	66097	360335
124	66606	359674
125	67123	359055
126	67644	358464
127	68164	357864
128	68692	357305
129	69211	356703
130	69734	356125
131	70244	355481
132	70793	355033
133	71414	354940
134	71973	354537
135	72554	354237
136	73121	353865
137	73686	353480
138	74278	353221
139	74895	353077
140	75494	352845
141	76024	352281
142	76550	351704
143	77177	351588
144	77758	351251
145	78380	351103
146	78978	350837
147	79549	350446
148	80099	349965
149	80676	349600
150	81244	349188
151	81795	348708
152	82312	348078
153	82829	347451
154	83337	346792
155	83855	346171
156	84387	345613
157	84915	345035
158	85430	344406
159	85976	343905
